Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
DRE,58.39,N/A,0.18175783947527374,0.8832997987927566,-0.03987321848659667,0.710261569416499,-0.0195522479393717,0.8108651911468813,0.152516932476124,0.993963782696177,0.8495975855130784
WRB,66.67,N/A,0.35723664229149316,0.9496981891348087,0.2054035264216922,0.971830985915493,0.005057047237876165,0.8812877263581488,-0.006999857770507105,0.5915492957746479,0.8485915492957746
INCY,80.82,N/A,-0.013414440940289728,0.6277665995975855,0.08777686720951987,0.8933601609657947,0.0001255662861222758,0.8692152917505029,0.1543498561920997,0.9959758551307847,0.846579476861167
BMY,77.47,N/A,0.1667612713013173,0.8712273641851107,0.17530867501109668,0.9577464788732394,-0.005645318576438174,0.8390342052313884,0.013712300258913571,0.710261569416499,0.8445674044265594
CBOE,125.52,N/A,0.03811182501355719,0.7223340040241449,-0.03006435004886472,0.732394366197183,0.04519252269610823,0.9376257545271629,0.1058485033140294,0.9778672032193159,0.8425553319919517
KO,64.95,N/A,0.1956602298430704,0.8933601609657947,0.05696561529152715,0.8511066398390342,-0.006670079724260604,0.8370221327967806,0.03288389671032556,0.7847082494969818,0.8415492957746479
PFE,52.58,N/A,0.3935027153550982,0.9577464788732394,-0.052729234571413895,0.6861167002012073,-0.011740093009455017,0.8269617706237424,0.060736645603635,0.8893360160965794,0.8400402414486922
VAR,184.02,N/A,0.596363816781115,0.9818913480885311,0.0302603761654942,0.8189134808853119,0.010579383501284413,0.8893360160965794,0.004855525203802234,0.663983903420523,0.8385311871227363
PEP,173.49,N/A,0.17605320326015222,0.8792756539235412,-0.007501432462461335,0.7665995975855131,-0.00548681680692661,0.8410462776659959,0.04978835928046478,0.8591549295774648,0.8365191146881288
MCD,254.12,N/A,0.10093982717932955,0.7987927565392354,-0.0239414408580929,0.7364185110663983,0.017687244419455378,0.8973843058350099,0.06748808598967786,0.9094567404426559,0.8355130784708249
HII,222.12,N/A,0.07517201225087254,0.7605633802816901,0.09926308048927442,0.9014084507042253,0.06006169562844935,0.9476861167002012,0.01852553164252481,0.7283702213279678,0.8345070422535211
CDNS,154.24,N/A,0.14315320296625533,0.8511066398390342,-0.0701187566998951,0.663983903420523,0.02697630103537042,0.9154929577464789,0.06071809272882707,0.8873239436619719,0.829476861167002
GL,101.35,N/A,0.0766631556691817,0.7645875251509053,-0.01176740066325899,0.7565392354124748,-0.0205589122582692,0.8088531187122736,0.1017006748009044,0.9758551307847082,0.8264587525150905
FTNT,60.86,N/A,0.2155769598267536,0.8993963782696177,-0.03893809569849498,0.7142857142857143,-0.05241775133070087,0.7344064386317908,0.08284779315531236,0.9396378269617707,0.8219315895372233
AIZ,177.52,N/A,0.14695307690984108,0.8551307847082495,0.1367492559301715,0.9396378269617707,-0.04771372513871561,0.7484909456740442,0.020986961842451884,0.7404426559356136,0.8209255533199196
PRGO,43.7,N/A,-0.0809938452276672,0.5331991951710262,0.01800831827555291,0.8048289738430583,0.156513919153072,0.9879275653923542,0.0856384229537551,0.9476861167002012,0.81841046277666
JKHY,187.89,N/A,0.1296702941876011,0.8430583501006036,0.10673663383724506,0.9114688128772636,-0.0575759744037872,0.7183098591549296,0.0356266567476127,0.7987927565392354,0.817907444668008
JNJ,183.79,N/A,0.0799041243114714,0.772635814889336,0.05575813494240266,0.8470824949698189,-0.001913532962868487,0.8490945674044265,0.03397992386450747,0.7927565392354124,0.8153923541247484
WAT,346.71,N/A,-0.05375945717314396,0.5674044265593562,0.01617611176259043,0.8028169014084507,0.1565546576366641,0.9899396378269617,0.06273664238504044,0.8953722334004024,0.8138832997987928
KMB,136.89,N/A,0.03309832184825279,0.710261569416499,-0.04317158132773387,0.7022132796780685,0.0752407807561507,0.959758551307847,0.05710631315992161,0.8752515090543259,0.811871227364185
GPC,140.54,N/A,0.0938394960358782,0.7907444668008048,0.01577889037239746,0.800804828973843,0.06026599022611816,0.9496981891348087,0.012903060427663053,0.704225352112676,0.8113682092555331
AMGN,259.31,N/A,0.04597306736204732,0.7243460764587525,0.08668128808709971,0.8893360160965794,-0.004574810844421326,0.8450704225352113,0.03253883010997313,0.7806841046277665,0.8098591549295774
